Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Total Residents Aged 15 Years And Over By Labour Force Status And Age Group, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M182091,31/03/2024 12:08:59
"Total Residents Labour Force Aged 15 Years And Over By Age And Highest Qualification Attained, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M183661,31/03/2024 12:08:59
Usual Hours Worked Per Week And Percentage Of Workers Who Worked At Least 40 Hours Per Week,Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Force,https://tablebuilder.singstat.gov.sg/table/TS/M184091,31/03/2024 12:08:59
Trade Disputes Filed With Ministry Of Manpower,Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Relations,https://tablebuilder.singstat.gov.sg/table/TS/M180091,31/03/2024 12:08:59
Trade Disputes Filed With The Industrial Arbitration Court,Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Relations,https://tablebuilder.singstat.gov.sg/table/TS/M183651,31/03/2024 12:08:59
"Trade Unions And Membership, (At End Of Period)",Economy & Prices,"Labour, Employment, Wages and Productivity",Labour Relations,https://tablebuilder.singstat.gov.sg/table/TS/M180081,31/03/2024 12:08:59
Changes In Value Added Per Actual Hour Worked In Chained (2015) Dollars By Industry,Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015861,31/03/2024 12:08:59
"Changes In Value Added Per Worker At Current Prices, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015821,31/03/2024 12:08:59
"Changes In Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015701,31/03/2024 12:08:59
Multifactor Productivity: Contributions To Growth In Real GDP,Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M014981,31/03/2024 12:08:59
Value Added Per Actual Hour Worked In Chained (2015) Dollars By Industry,Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015871,31/03/2024 12:08:59
"Value Added Per Worker At Current Prices, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015801,31/03/2024 12:08:59
"Value Added Per Worker In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Productivity,https://tablebuilder.singstat.gov.sg/table/TS/M015691,31/03/2024 12:08:59
"Average Monthly Recruitment Rate By Industry And Occupational Group, (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Recruitment and Resignation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M184021,31/03/2024 12:08:59
"Average Monthly Resignation Rate By Industry And Occupational Group, (SSIC 2020)",Economy & Prices,"Labour, Employment, Wages and Productivity",Recruitment and Resignation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M184031,31/03/2024 12:08:59
Retrenched Employees By Industry (SSIC 2020) And Occupational Group,Economy & Prices,"Labour, Employment, Wages and Productivity",Redundancy,https://tablebuilder.singstat.gov.sg/table/TS/M183911,31/03/2024 12:08:59
Retrenched Permanent Employees By Industry (SSIC 2020) And Occupational Group,Economy & Prices,"Labour, Employment, Wages and Productivity",Redundancy,https://tablebuilder.singstat.gov.sg/table/TS/M183881,31/03/2024 12:08:59
Retrenched Term Contract Employees By Industry (SSIC 2020) And Occupational Group,Economy & Prices,"Labour, Employment, Wages and Productivity",Redundancy,https://tablebuilder.singstat.gov.sg/table/TS/M183921,31/03/2024 12:08:59
"Singapore Workforce Skills Qualifications (WSQ) Trainees By Age, Highest Qualification Attained, And Sex",Economy & Prices,"Labour, Employment, Wages and Productivity",Training,https://tablebuilder.singstat.gov.sg/table/TS/M183091,31/03/2024 12:08:59
Singapore Workforce Skills Qualifications (WSQ) Trainees By Level Of WSQ Statement Of Attainment,Economy & Prices,"Labour, Employment, Wages and Productivity",Training,https://tablebuilder.singstat.gov.sg/table/TS/M183101,31/03/2024 12:08:59
"Average Resident Unemployment Rate By Sex, Age And Highest Qualification Attained",Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M183401,31/03/2024 12:08:59
Unemployed Residents Aged 15 Years And Over By Sex,Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M184081,31/03/2024 12:08:59
Unemployment Rate (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M182341,31/03/2024 12:08:59
"Unemployment Rate Aged 15 Years And Over, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Unemployment,https://tablebuilder.singstat.gov.sg/table/TS/M182332,31/03/2024 12:08:59
Unit Labour Cost Index (2015 = 100),Economy & Prices,"Labour, Employment, Wages and Productivity",Unit Labour Cost (ULC),https://tablebuilder.singstat.gov.sg/table/TS/M183741,31/03/2024 12:08:59
Average Monthly Nominal Earnings Per Employee,Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182931,31/03/2024 12:08:59
Average Weekly Paid Hours Worked Per Employee By Industry,Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M184061,31/03/2024 12:08:59
"Changes In Average Monthly Nominal Earnings Per Employee, (Compared To The Same Period A Year Ago)",Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182561,31/03/2024 12:08:59
Gross Monthly Income From Employment (Including Employer CPF) Of Full-Time Employed Residents,Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182981,31/03/2024 12:08:59
"Median Gross Monthly Income From Employment (Including Employer CPF) Of Full-Time Employed Residents By Occupations And Sex, End June",Economy & Prices,"Labour, Employment, Wages and Productivity",Wages and Income from Employment,https://tablebuilder.singstat.gov.sg/table/TS/M920131,31/03/2024 12:08:59
Composite Leading Index (2015 = 100),Economy & Prices,Leading Indicators,Composite Leading Index (CLI),https://tablebuilder.singstat.gov.sg/table/TS/M240421,31/03/2024 12:08:59
Consumption Of Fixed Capital At Current Prices,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015591,31/03/2024 12:08:59
Consumption Of Fixed Capital In Chained (2015) Dollars,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015581,31/03/2024 12:08:59
Gross Capital Stock At Current Prices By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015071,31/03/2024 12:08:59
Gross Capital Stock In Chained (2015) Dollars By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M014991,31/03/2024 12:08:59
Net Capital Stock At Current Prices By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015081,31/03/2024 12:08:59
Net Capital Stock In Chained (2015) Dollars By Type Of Assets,Economy & Prices,National Accounts,Capital Stock,https://tablebuilder.singstat.gov.sg/table/TS/M015001,31/03/2024 12:08:59
Compensation Of Employees By Industry At Current Prices,Economy & Prices,National Accounts,Compensation of Employees,https://tablebuilder.singstat.gov.sg/table/TS/M015971,31/03/2024 12:08:59
Expenditure On Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M014871,31/03/2024 12:08:59
Expenditure On Gross Domestic Product Deflators (2015 = 100),Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015111,31/03/2024 12:08:59
Expenditure On Gross Domestic Product In Chained (2015) Dollars,Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M014811,31/03/2024 12:08:59
Share Of Expenditure On Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Expenditure on Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015531,31/03/2024 12:08:59
Individual And Collective Government Consumption Expenditure At Current Prices,Economy & Prices,National Accounts,Government Consumption Expenditure,https://tablebuilder.singstat.gov.sg/table/TS/M016121,31/03/2024 12:08:59
"Contribution To Growth In Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015671,31/03/2024 12:08:59
"Gross Domestic Product At Current Prices, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015651,31/03/2024 12:08:59
"Gross Domestic Product Deflators (2015 = 100), By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015681,31/03/2024 12:08:59
"Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015661,31/03/2024 12:08:59
"Gross Domestic Product, Year On Year Growth Rate",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015631,31/03/2024 12:08:59
Income Components Of Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015961,31/03/2024 12:08:59
"Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015941,31/03/2024 12:08:59
