Datasets,Data period,Last updated,Datatype,Source,Dataset url,Date_of_check
Government Gazettes (Current Notices),No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_80e193bd9517638c4a60a9317c49c3b8/view,17/03/2024 20:23:04
Government Gazette Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_07bae9a30cd02f43f1475b134188060b/view,17/03/2024 20:23:04
Revocation 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_75b4ab74fb58ac99daf2ab01d218c142/view,17/03/2024 20:23:04
Statutes 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e477350cc4eedf507d9b435e0b89e7ae/view,17/03/2024 20:23:04
Leave 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_830ca47f48adfac75b79dc7d0efd8744/view,17/03/2024 20:23:04
Bankruptcy Act Notices 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_4dc111478d0294c30e9cd071105a48cf/view,17/03/2024 20:23:04
Vacation of Service 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_359c51c213daec19bb5f7eaa4208466b/view,17/03/2024 20:23:04
Legislation Gazettes (Current Notices),No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_3bc5e9401a77986ab974a95b197ff4bc/view,17/03/2024 20:23:04
Trade Marks Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_95daf2b05bda238dee921352130de047/view,17/03/2024 20:23:04
Subsidiary Legislation Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_54f824a6d704ca16747406549f7b85e4/view,17/03/2024 20:23:04
Others 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_5791c6e4cbb2487b877322b410e39d09/view,17/03/2024 20:23:04
Cessation of Service 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e845c87f3dfe3979022ba7ac5b3a9b10/view,17/03/2024 20:23:04
Death 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_edb599302d97748dc95ef4fe16fcecd5/view,17/03/2024 20:23:04
Termination of Service 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_75a8ec0018721707ac67c8df6b570cb4/view,17/03/2024 20:23:04
Revised Subsidiary Legislation 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_7e3623bb66b9ef7116e9ec4567bc309d/view,17/03/2024 20:23:04
Tenders 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e2de193f0888e615ec7b6b12f099db16/view,17/03/2024 20:23:04
Tenders 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_6f49bdf5154df5772291cd3e02eec5da/view,17/03/2024 20:23:04
Industrial Relations Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_fec59dbfd4f1f6020212394aa45fb861/view,17/03/2024 20:23:04
Others 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_1a520c1ec747499dc1418b03f6e68b49/view,17/03/2024 20:23:04
Corrigendum 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_82ec4cf03da7592a89479daaf9b4dc1b/view,17/03/2024 20:23:04
Companies Act Notices 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_a9e75af8a5c5166f253894f9d2ae1fa0/view,17/03/2024 20:23:04
Companies Act Notices 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_6d140ae3bf111d222c1e5a835db3a69b/view,17/03/2024 20:23:04
Termination of Service 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_60877dfe2dc76b197660c16c7d43cffa/view,17/03/2024 20:23:04
Audited Reports 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_bb491a649a3745659802bee63da1a658/view,17/03/2024 20:23:04
Treaties Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_5fe7d3d7d513150e0db49e7d8cf4410e/view,17/03/2024 20:23:04
Notices under other Acts 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_c31c965da0c7c4bdc897eebb6747486a/view,17/03/2024 20:23:04
Advertisements 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_474aecabe7646d6a26432cf2e7b3e68e/view,17/03/2024 20:23:04
Notices under the Constitution 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_2c7c87c899bf1264f34eba18890518e5/view,17/03/2024 20:23:04
Bills Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_335892afe91b3875281b2f20b95a8d51/view,17/03/2024 20:23:04
Bankruptcy Act Notices 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_68ec1ad5ce7a99da51edf182fe0e12cf/view,17/03/2024 20:23:04
Supplements (Current Notices),No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8f848100c27d6d4c534769130dbba7ff/view,17/03/2024 20:23:04
Acts Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_7de78ed5dcffc31092945d41a898c16a/view,17/03/2024 20:23:04
Appointments 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_03f6016f32c83fecdf724ea536d8ecb7/view,17/03/2024 20:23:04
Treaties Supplement 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_9f4db5fa5416ecdca2557170f3ab5f53/view,17/03/2024 20:23:04
Appointments 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_d49abc655fbbe92f89bc00f4498c9123/view,17/03/2024 20:23:04
Dismissals 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8c7861d7a398f8a623d564bfbc79d56f/view,17/03/2024 20:23:04
Cessation of Service 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_199409ce3729f893cd4ca5186f8d3e62/view,17/03/2024 20:23:04
Dismissals 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_f56855c1736a13ef1b2a262e25e277e1/view,17/03/2024 20:23:04
Leave 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8baea0c703f1918607ab1ea31989f4f2/view,17/03/2024 20:23:04
Audited Reports 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_acdac3f791d2eee1e8cd533843eec9b7/view,17/03/2024 20:23:04
Vacation of Service 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_66ce50ab169cf6e5db6c53561dbacb0f/view,17/03/2024 20:23:04
Subsidiary Legislation Supplement 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_212501e1ebebcc3d69f81875b90775ca/view,17/03/2024 20:23:04
Advertisements 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_c78740f1761cb3cc9952fa73a8c87f5a/view,17/03/2024 20:23:04
Government Gazette Supplement 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_20a3ac83c89cd1e26ff3ba0b892a152a/view,17/03/2024 20:23:04
Notices under the Constitution 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_6c4962191579570a3cf54916559aba8f/view,17/03/2024 20:23:04
Statutes 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_d42e07edc3ed498db9f7701737594cb3/view,17/03/2024 20:23:04
Corrigendum 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_ca749dc6f7e54f6da111ea472fa4bb59/view,17/03/2024 20:23:04
Revocation 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_f1d530a536bc6985fea6a7ecacd8706b/view,17/03/2024 20:23:04
Death 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_ba477613fce8881922d0e484ee071ce7/view,17/03/2024 20:23:04
Notices under other Acts 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_ee93625bbc9dee11eafa92aaa8c671aa/view,17/03/2024 20:23:04
Trade Marks Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_0ce1cfdc8904d692bcaaaa9d55439ff2/view,17/03/2024 20:23:04
Bills Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_4a61275b92165a1f1303ba706c93656c/view,17/03/2024 20:23:04
Industrial Relations Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8b7a2451d909b031f3cbd91ce226bce2/view,17/03/2024 20:23:04
Revised Subsidiary Legislation 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_dba59293f2bbbdb270eae7152969f4da/view,17/03/2024 20:23:04
Acts Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e9a6deefeaba9cec98b9dc3184926455/view,17/03/2024 20:23:04
CEA Salesperson Information,Jan 2011 - Sep 2023,Updated 3 hours ago,CSV,Council For Estate Agencies (CEA),https://beta.data.gov.sg/datasets/d_07c63be0f37e6e59c07a4ddc2fd87fcb/view,17/03/2024 20:23:04
Listing of Centre Services,Nov 2018 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_44cfe12f2858ae503a093dfc075a28be/view,17/03/2024 20:23:04
Listing of Centres,Nov 2018 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_696c994c50745b079b3684f0e90ffc53/view,17/03/2024 20:23:04
Listing of Centres Incidental Charge,Mar 2019 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_253a7e348279bf0a87666a71f7ea2e67/view,17/03/2024 20:23:04
Listing of Centres Licence History,Mar 2020 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_aea5df8dc9e1850857afd0e5e8e25795/view,17/03/2024 20:23:04
"Resident Households by Household Size, Ethnic Group and Sex of Head of Household",No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_8f32e92dd341adc0b1ad329f1e58b070/view,17/03/2024 20:23:04
Resident Households by Household Size and Highest Qualification Attained of Head of Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_26d42db7a24feb45ce265de63a72f792/view,17/03/2024 20:23:04
Resident Households by Household Size and Age Group of Head of Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_cd3445f7b5578f3bf3fe966bfaf41c47/view,17/03/2024 20:23:04
Resident Households by Household Living Arrangement and Monthly Household Income from Work Per Household Member,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_52de12eefd17eafb00efc8a437d524e3/view,17/03/2024 20:23:04
Resident Households by Household Structure and Age Group of Head of Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_e041acc3a4c4589ddb25b334b1fb75b4/view,17/03/2024 20:23:04
Resident Households by Household Living Arrangement and Type of Dwelling,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_58be3c32762dfcbd242b4cca209ff800/view,17/03/2024 20:23:04
Resident Households by Household Size and Occupation of Head of Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_18848fe4de1c274366293641af05393b/view,17/03/2024 20:23:04
"Resident Households by Household Size, Marital Status and Sex of Head of Household",No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_f822973ae9bf8a0ee1f1b07b72589e20/view,17/03/2024 20:23:04
Resident Households by Household Size and Number of Working Persons in Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_1602a3b0438077ebf416a8f5ef22095b/view,17/03/2024 20:23:04
Listing of Temporary Occupation Permits (TOP) Issued,Nov 2015 - Nov 2017,Updated 1 day ago,CSV,Building and Construction Authority (BCA),https://beta.data.gov.sg/datasets/d_05d95877b164cc8f0f34ca4dc9fd4bce/view,17/03/2024 20:23:04
"Private Consumption Expenditure At Current Prices, Annual",Dec 1969 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_718c30d80ca1c8994b6cfd97412bdb39/view,17/03/2024 20:23:04
"Resident Households by Age Group, Economic Status and Sex of Head of Household",No Date info,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_67fd62833e1d319f99e175caa958ddcd/view,17/03/2024 20:23:04
"Percent Change In Consumer Price Index (CPI) Over Previous Period, 2019 As Base Year, Monthly",Dec 1969 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_2f2225f240c7e8e3db850c64fdf59ed5/view,17/03/2024 20:23:04
Resident Households by Household Living Arrangement and Highest Qualification Attained of Head of Household,No Date info,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_fc2f667d127d5a0406617fd8a7a7647c/view,17/03/2024 20:23:04
"Proportion Of Singles Among Resident Population By Selected Age Group And Sex, Annual",Jan 1970 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_2552cf03121921d78da5e17004f43e0a/view,17/03/2024 20:23:04
"Private Consumption Expenditure In Chained (2015) Dollars, Annual",Dec 1969 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_0fa021c2291c8c1af9d2952d9dc432a9/view,17/03/2024 20:23:04
"Number And Proportion Of Inter-Ethnic And Transnational Marriages Among Citizen Marriages, Annual",Jan 1970 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_32a07a9b490172f272a736b7a2f4471f/view,17/03/2024 20:23:04
Resident Households by Age Group and Highest Qualification Attained of Head of Household,No Date info,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_fffee93b078ccbc421a96d5ecfebb640/view,17/03/2024 20:23:04
"Resident Households by Age Group, Ethnic Group and Sex of Head of Household",No Date info,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_da2ffd33eaf90a2bbdb26a62998c250b/view,17/03/2024 20:23:04
"Resident Population by Single Year of Age, Ethnic Group and Sex",No Date info,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_7496eb2dbd7844005d885d80f10ffc2d/view,17/03/2024 20:23:04
"Percent Change In Consumer Price Index (CPI) Over Corresponding Period Of Previous Year, 2019 As Base Year, Annual",Dec 1969 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_8b007d0a630351e2375d5d574e108058/view,17/03/2024 20:23:04
"Resident Ever-Married Females By Age Group And Number Of Children Born, Annual",Jan 1970 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_1de45e559613cb1a82b65ca23d9f2ffd/view,17/03/2024 20:23:04
"Resident Households By Age Group Of Household Reference Person And Household Living Arrangement, Annual",Jan 1970 - Jan 1970,Updated 1 day ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_d3bd8bb86544b551fdca1905804696d0/view,17/03/2024 20:23:04
Newspapers-Malaya Tribune-1934 to 1938,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_aa56cfd7dd8efa83312292fdcb2b2aec/view,17/03/2024 20:23:04
Newspapers-Sunday Standard-1950 to 1953,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_b1cf00e204e35e07d4ec45abb91b8077/view,17/03/2024 20:23:04
Newspapers-Weekly Sun-1910 to 1913,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_459adb15c1cabfd2e0212a923989b892/view,17/03/2024 20:23:04
Newspapers-The Straits Maritime Journal and General News-1895 to 1896,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_8229ae99eb503b45b075067b87184cfe/view,17/03/2024 20:23:04
Newspapers-The Straits Independent and Penang Chronicle-1894 to 1896,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_722c16f37860ad31d697d609c7f81be1/view,17/03/2024 20:23:04
Students In Schools - Primary Schools,No Date info,Updated 2 days ago,CSV,Ministry of Education (MOE),https://beta.data.gov.sg/datasets/d_82ad188aa90781534e972334c201fd7d/view,17/03/2024 20:23:04
Newspapers-The Straits Independent and Penang Chronicle-1889 to 1892,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_4c3c3d7e5b29722187d69fe226a0acb7/view,17/03/2024 20:23:04
Students In Schools - Secondary Schools,No Date info,Updated 2 days ago,CSV,Ministry of Education (MOE),https://beta.data.gov.sg/datasets/d_485ba9d40c6270a9ac1baf20e80d3e98/view,17/03/2024 20:23:04
Students In Schools - Pre-University,No Date info,Updated 2 days ago,CSV,Ministry of Education (MOE),https://beta.data.gov.sg/datasets/d_ee8c56dc61e074a695f6dab0da546dfe/view,17/03/2024 20:23:04
Teachers In Schools - Pre-University,No Date info,Updated 2 days ago,CSV,Ministry of Education (MOE),https://beta.data.gov.sg/datasets/d_fd7ff53aad657b915311a1d4d6fef7ed/view,17/03/2024 20:23:04
Teachers In Schools - Secondary Schools,No Date info,Updated 2 days ago,CSV,Ministry of Education (MOE),https://beta.data.gov.sg/datasets/d_8b21b31d3f0a4ed58cb805336d52d932/view,17/03/2024 20:23:04
Teachers In Schools - Primary Schools,No Date info,Updated 2 days ago,CSV,Ministry of Education (MOE),https://beta.data.gov.sg/datasets/d_b09a1596075c5d694af7c23bbef87f53/view,17/03/2024 20:23:04
Newspapers-The Penang Patriot-1898 to 1900,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_2d3523431e6788da59b87ad624d571b3/view,17/03/2024 20:23:04
Newspapers-The Malacca Weekly Chronicle and Mercantile Advertiser-1888 to 1889,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_6ef475f33c2d51eda249b8266a4acca3/view,17/03/2024 20:23:04
Newspapers-Syonan Shimbun Fortnightly-1945,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_6fe660ee98460d1be880580f99e86da1/view,17/03/2024 20:23:04
Newspapers-Sunday Tribune (Singapore)-1945 to 1950,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_ffa948e85a23f815cf4355e47b387232/view,17/03/2024 20:23:04
Newspapers-Sunday Tribune (Singapore)-1938 to 1941,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_8697c0e4f0b625531be10cb8db1032bb/view,17/03/2024 20:23:04
Newspapers-Sunday Tribune (Singapore)-1933 to 1937,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_4145f481381104e8acac1ca8f99fdbbc/view,17/03/2024 20:23:04
Newspapers-Straits Telegraph and Daily Advertiser-1899,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_5334f6305b1bc4abb9a62083ff5357b6/view,17/03/2024 20:23:04
Newspapers-Straits Observer (Singapore)-1897,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_210e7366a96ea6ef6ff109f8819dff13/view,17/03/2024 20:23:04
Newspapers-Straits Observer (Singapore)-1874 to 1876,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_cce6ead0b8ca810f9ad625d4a3a114d8/view,17/03/2024 20:23:04
Newspapers-Straits Mail-1894 to 1895,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_50251bdaf3c3e076cccb960a605726c5/view,17/03/2024 20:23:04
Newspapers-Straits Eurasian Advocate-1888,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_1a0e13ffcdd67a3954f12cec0b63a1d1/view,17/03/2024 20:23:04
Newspapers-Straits Echo-1915 to 1918,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_bc269bdf18f07f1c980e995e151fe3e1/view,17/03/2024 20:23:04
Newspapers-Straits Echo-1910 to 1914,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_8ff0050ff9ab94b500b278cf97acd2f5/view,17/03/2024 20:23:04
Newspapers-Straits Daily Advertiser-1900,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_8d3647bf2946589e07b4cde4143bddad/view,17/03/2024 20:23:04
Newspapers-Singapore Standard-1950 to 1953,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_d35d2d0a53b43d45fa58286dc0e23fd2/view,17/03/2024 20:23:04
Newspapers-Straits Chinese Herald-1894,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_b063f5a2559352d7ee3ea4cda0a1ecd3/view,17/03/2024 20:23:04
Newspapers-Straits Advocate-1889,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_5f41191b7b5f7f7aa56a91e382463797/view,17/03/2024 20:23:04
Newspapers-Singapore Weekly Herald-1888 to 1889,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_b172ca710adce670bc058f3c11d518c7/view,17/03/2024 20:23:04
Newspapers-Singapore Chronicle and Commercial Register-1832 to 1837,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_537ab93bef232df3b883e0477858205a/view,17/03/2024 20:23:04
Newspapers-Morning Tribune-1936 to 1941,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_8b7214b5e37966ded68f92d698e113e7/view,17/03/2024 20:23:04
Newspapers-Morning Tribune-1946 to 1949,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_b1233478b7e05f5fb6211edc9ab449e7/view,17/03/2024 20:23:04
Newspapers-Singapore Chronicle and Commercial Register-1827 to 1831,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_0d77d715e4db728f806bd01f7ba0371a/view,17/03/2024 20:23:04
Newspapers-Shonan Times (Syonan Shimbun)-1942 to 1945,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_bc1c53268697009babf3918cd37771b7/view,17/03/2024 20:23:04
Newspapers-Morning Tribune-1927,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_0e03b5f9acd1c4ef447f4c6cd5bfd32a/view,17/03/2024 20:23:04
Newspapers-Malaya Tribune-1950 to 1951,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_786b21b8e9b2e5a9bfbbda09188184a0/view,17/03/2024 20:23:04
Newspapers-Mid-day Herald-1895 to 1898,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_00515e7c3a51c289ff488ff3f7528d1e/view,17/03/2024 20:23:04
Newspapers-Malaya Tribune-1945 to 1949,Sep 2022 - Sep 2023,Updated 2 days ago,CSV,National Library Board (NLB),https://beta.data.gov.sg/datasets/d_35edcd8fbe08f517e1c23470f996dadc/view,17/03/2024 20:23:04
