Datasets,Data period,Last updated,Datatype,Source,Dataset url,Date_of_check
Master Plan 2019 Road Name layer,No Date info,Updated 7 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_93f8f9b3a463fc491b25d9a49f1dc654/view,17/03/2024 20:23:04
Eating Establishments,No Date info,Updated 3 years ago,KML,Singapore Food Agency (SFA),https://beta.data.gov.sg/datasets/d_795cd2ffc806f38da83b144a0ec2d64b/view,17/03/2024 20:23:04
Licensed premises for petroleum products,No Date info,Updated 7 months ago,GEOJSON,Singapore Customs (CUSTOMS),https://beta.data.gov.sg/datasets/d_f5db74053e49ce79039f1b13549d1efb/view,17/03/2024 20:23:04
Disability Services,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_9bde6cb42dce64ebaf2dc7ccc2db6201/view,,17/03/2024 20:23:04
Licensed Premises for Motor Vehicles,No Date info,Updated 7 months ago,KML,Singapore Customs (CUSTOMS),https://beta.data.gov.sg/datasets/d_e056d0911cddc2f71fb2cc88f117b4eb/view,17/03/2024 20:23:04
Coastal and Marine Habitat Map of Singapore 2018,No Date info,Updated 1 year ago,KMZ,National Parks Board (NPARKS),https://beta.data.gov.sg/datasets/d_38dddc3049d6cb41cd608d7da726bdc3/view,17/03/2024 20:23:04
Singapore Police Force - National Day Parade 2022 Special Event Area,No Date info,Updated 7 months ago,GEOJSON,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_60f198df581febf95a64539798a29a43/view,17/03/2024 20:23:04
SAFRA Centres,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_b0c7a065104744ecfbc21e93c226ee5c/view,,17/03/2024 20:23:04
Singapore Police Force - (13th Parliamentary General Election) - Rally Sites,No Date info,Updated 7 months ago,GEOJSON,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_8aa685d57cf7ba8eb9733624bdb25c20/view,17/03/2024 20:23:04
Dengue (Cases) - North West,No Date info,Updated 7 months ago,GEOJSON,National Environment Agency (NEA),https://beta.data.gov.sg/datasets/d_ce8cf1e3f4f5ff1a68393a7cb101eb9c/view,17/03/2024 20:23:04
Community Mediation,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_4c763d1fe1d80c30348ba4f427975f9c/view,,17/03/2024 20:23:04
Hawker Centres_New,,,,,,17/03/2024 20:23:04
E-waste Recycling_NEW,No Date info,Updated 7 months ago,GEOJSON,National Environment Agency (NEA),https://beta.data.gov.sg/datasets/d_e8c94e00d7e1dca4ae3248d0a8e39959/view,17/03/2024 20:23:04
Eldercare Services,No Date info,Updated 7 months ago,GEOJSON,https://beta.data.gov.sg/datasets/d_f0fd1b3643ed8bd34bd403dedd7c1533/view,,17/03/2024 20:23:04
Coastal and Marine Habitat Map of Singapore 2010/2011,No Date info,Updated 7 months ago,KML,National Parks Board (NPARKS),https://beta.data.gov.sg/datasets/d_e83c2d297029b7f61751cd8e1bce72e3/view,17/03/2024 20:23:04
"Average Monthly Household Electricity Consumption by URA Planning Area & Dwelling Type, 2009",No Date info,Updated 7 months ago,KML,Energy Market Authority (EMA),https://beta.data.gov.sg/datasets/d_90009364978a4acd3132be18b4d23be2/view,17/03/2024 20:23:04
Licensed Premises for Zero GST Goods,No Date info,Updated 7 months ago,GEOJSON,Singapore Customs (CUSTOMS),https://beta.data.gov.sg/datasets/d_5979a6d853c891740c9059cfa366e64e/view,17/03/2024 20:23:04
SLA Cadastral Airspace Parcel,No Date info,Updated 7 months ago,KML,Singapore Land Authority (SLA),https://beta.data.gov.sg/datasets/d_c4d404e6a6e1ef9f1169b41eb1f73f04/view,17/03/2024 20:23:04
Community Club / PAssion WaVe Outlet,No Date info,Updated 7 months ago,KML,People's Association (PA),https://beta.data.gov.sg/datasets/d_58cfdb495b548d96c54ebe411307edf2/view,17/03/2024 20:23:04
Licensed Premises for Liquors & Tabacco Products,No Date info,Updated 7 months ago,GEOJSON,Singapore Customs (CUSTOMS),https://beta.data.gov.sg/datasets/d_50db8a47e7e5902a29c25fa24978a690/view,17/03/2024 20:23:04
Community Use Sites,No Date info,Updated 7 months ago,KML,Singapore Land Authority (SLA),https://beta.data.gov.sg/datasets/d_52a7260f84fd0ba16c69db521d63de6e/view,17/03/2024 20:23:04
