Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015661,17/03/2024 20:28:35
"Gross Domestic Product, Year On Year Growth Rate",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015631,17/03/2024 20:28:35
Income Components Of Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015961,17/03/2024 20:28:35
"Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015941,17/03/2024 20:28:35
"Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Year On Year Growth Rate",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015911,17/03/2024 20:28:35
Per Capita GDP In Chained (2015) Dollars,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015891,17/03/2024 20:28:35
Per Capita GNI And Per Capita GDP At Current Prices,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015121,17/03/2024 20:28:35
Share Of Income Components Of Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M016071,17/03/2024 20:28:35
"Share Of Nominal Gross Value Added, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015781,17/03/2024 20:28:35
Gross Fixed Capital Formation At Current Prices,Economy & Prices,National Accounts,Gross Fixed Capital Formation (GFCF),https://tablebuilder.singstat.gov.sg/table/TS/M014891,17/03/2024 20:28:35
Gross Fixed Capital Formation In Chained (2015) Dollars,Economy & Prices,National Accounts,Gross Fixed Capital Formation (GFCF),https://tablebuilder.singstat.gov.sg/table/TS/M014841,17/03/2024 20:28:35
Gross Operating Surplus By Industry At Current Prices,Economy & Prices,National Accounts,Gross Operating Surplus,https://tablebuilder.singstat.gov.sg/table/TS/M015981,17/03/2024 20:28:35
Generation Of Income Account At Current Prices,Economy & Prices,National Accounts,Gross Value Added (GVA) by Institutional Sector,https://tablebuilder.singstat.gov.sg/table/TS/M016091,17/03/2024 20:28:35
Production Account At Current Prices,Economy & Prices,National Accounts,Gross Value Added (GVA) by Institutional Sector,https://tablebuilder.singstat.gov.sg/table/TS/M016101,17/03/2024 20:28:35
Other Taxes Less Subsidies On Production By Industry At Current Prices,Economy & Prices,National Accounts,Other Taxes Less Subsidies on Production,https://tablebuilder.singstat.gov.sg/table/TS/M015991,17/03/2024 20:28:35
"Output, Saving & Investment At Current Prices",Economy & Prices,National Accounts,"Output, Saving and Investment",https://tablebuilder.singstat.gov.sg/table/TS/M015031,17/03/2024 20:28:35
"Output, Saving & Investment At Current Prices In USD",Economy & Prices,National Accounts,"Output, Saving and Investment",https://tablebuilder.singstat.gov.sg/table/TS/M015101,17/03/2024 20:28:35
Personal Disposable Income At Current Prices,Economy & Prices,National Accounts,Personal Disposable Income and Personal Saving,https://tablebuilder.singstat.gov.sg/table/TS/M016081,17/03/2024 20:28:35
Private Consumption Expenditure At Current Prices,Economy & Prices,National Accounts,Private Consumption Expenditure,https://tablebuilder.singstat.gov.sg/table/TS/M015041,17/03/2024 20:28:35
Private Consumption Expenditure In Chained (2015) Dollars,Economy & Prices,National Accounts,Private Consumption Expenditure,https://tablebuilder.singstat.gov.sg/table/TS/M014951,17/03/2024 20:28:35
Direct Requirement Coefficients,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17847,17/03/2024 20:28:35
Domestic Supply Table,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16350,17/03/2024 20:28:35
Domestic Use Table At Basic Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17834,17/03/2024 20:28:35
Forward And Backward Linkages,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17841,17/03/2024 20:28:35
Import Requirement Coefficients,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16359,17/03/2024 20:28:35
Import Use Table At Basic Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17835,17/03/2024 20:28:35
"Imports, Taxes On Products And Primary Inputs By Final Demand",Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17145,17/03/2024 20:28:35
"Industrial Output By Imports, Taxes On Products And Primary Inputs In Coefficient Form",Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16358,17/03/2024 20:28:35
Industrial Value Added At Basic Prices By Final Expenditure,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16360,17/03/2024 20:28:35
Industry By Industry Flow Matrix,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17688,17/03/2024 20:28:35
Industry By Industry Input-Output Table,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17836,17/03/2024 20:28:35
Industry Output By Final Expenditure,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16356,17/03/2024 20:28:35
IO Multipliers,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17846,17/03/2024 20:28:35
Net Foreign Exchange Earnings From Exports,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17845,17/03/2024 20:28:35
Output Of Industry By Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17842,17/03/2024 20:28:35
Primary Input Requirement Coefficients Of Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17840,17/03/2024 20:28:35
Primary Inputs By Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17844,17/03/2024 20:28:35
Total Requirement Coefficients,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17838,17/03/2024 20:28:35
Total Requirement Coefficients In Terms Of Value Added,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17839,17/03/2024 20:28:35
Total Supply Table At Purchasers' Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17832,17/03/2024 20:28:35
Total Use Table At Purchasers' Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17833,17/03/2024 20:28:35
Value Added Of Industry By Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17843,17/03/2024 20:28:35
Changes In Total Demand In Chained (2015) Dollars,Economy & Prices,National Accounts,Total Demand,https://tablebuilder.singstat.gov.sg/table/TS/M014821,17/03/2024 20:28:35
Contribution To Growth In Total Demand In Chained (2015) Dollars,Economy & Prices,National Accounts,Total Demand,https://tablebuilder.singstat.gov.sg/table/TS/M014831,17/03/2024 20:28:35
Construction Material Market Prices,Economy & Prices,Prices and Price Indices,Construction Materials,https://tablebuilder.singstat.gov.sg/table/TS/M211251,17/03/2024 20:28:35
"Consumer Price Index (CPI), 2019 As Base Year",Economy & Prices,Prices and Price Indices,Consumer Price Index (CPI)/ Inflation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M212881,17/03/2024 20:28:35
"Consumer Price Index (CPI) By Household Income Group, Lowest 20%, 2019 As Base Year",Economy & Prices,Prices and Price Indices,Consumer Price Index (CPI)/ Inflation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M213061,17/03/2024 20:28:35
"Consumer Price Index (CPI) By Household Income Group, Middle 60%, 2019 As Base Year",Economy & Prices,Prices and Price Indices,Consumer Price Index (CPI)/ Inflation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M213071,17/03/2024 20:28:35
"Consumer Price Index (CPI) By Household Income Group, Highest 20%, 2019 As Base Year",Economy & Prices,Prices and Price Indices,Consumer Price Index (CPI)/ Inflation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M213081,17/03/2024 20:28:35
"Consumer Price Index (CPI), Additional Indicators, 2019 As Base Year",Economy & Prices,Prices and Price Indices,Consumer Price Index (CPI)/ Inflation Rate,https://tablebuilder.singstat.gov.sg/table/TS/M212961,17/03/2024 20:28:35
