Event Title,Date,Location,Status,URL,Date_of_check
PLQ Mid-Autumn Events,01 Sep - 01 Oct 2023,"10 Paya Lebar Road, Singapore 409057",ENDED,https://thesmartlocal.com/read/plq-mid-autumn-festival-2023/,31/03/2024 14:13:10
Bugis Town Events 2023,02 - 17 Sep 2023,Multiple locations,ENDED,https://thesmartlocal.com/read/bugis-town-september-2023/,31/03/2024 14:13:10
Garden Of Blooms,16 Sep - 01 Oct 2023,"18 Marina Gardens Drive, Gardens By The Bay, Singapore 018953",ENDED,https://thesmartlocal.com/read/gbtb-mid-autumn-festival-2023/,31/03/2024 14:13:10
Now Is Not The Time,19 - 24 Sep 2023,"27 Pasir Panjang Road, Singapore 117537",ENDED,https://thesmartlocal.com/read/now-is-not-the-time/,31/03/2024 14:13:10
Carnival By The Bay,22 - 23 Sep 2023,"8A Marina Boulevard, Singapore 018984",ENDED,https://thesmartlocal.com/read/carnival-by-the-bay/,31/03/2024 14:13:10
Halloween Horror Nights 2023,29 Sep - 04 Nov 2023,"8 Sentosa Gateway, Universal Studios Singapore, Singapore 098269",ENDED,https://thesmartlocal.com/read/halloween-horror-nights-2023/,31/03/2024 14:13:10
LKY: The Experience,06 Oct - 31 Dec 2023,11 Prinsep Link,ENDED,https://thesmartlocal.com/read/lky-the-experience/,31/03/2024 14:13:10
Rest.In.Peace Centre Horror Experience,13 - 29 Oct 2023,"1 Sophia Road, Peace Centre, Singapore 228161",ENDED,https://thesmartlocal.com/read/peace-centre-horror-house/,31/03/2024 14:13:10
Klook Travel Fest 2023,14 - 15 Oct 2023,Marina Bay Sands Convention Centre Hall D,ENDED,https://thesmartlocal.com/read/klook-travel-fest-2023/,31/03/2024 14:13:10
There’S A Huge Bazaar In Little India With Loads Of Traditional Snacks & Festive Outfits For Deepavali Hols,14 Oct - 11 Nov 2023,Little India,ENDED,https://thesmartlocal.com/read/deepavali-market-little-india/,31/03/2024 14:13:10
Brews & Beats 2023,19 - 24 Oct 2023,"311 New Upper Changi Road, Singapore 467360",ENDED,https://thesmartlocal.com/read/bedok-mall-brews-and-beats-2023/,31/03/2024 14:13:10
