Event Title,Date,Location,Status,URL,Date_of_check
Youth Corps Community Fair,16 Jul 2023,"113 Somerset Road, The Red Box, Singapore 238165",ENDED,https://thesmartlocal.com/read/do-good-fest-2023/,08/04/2024 23:10:32
Singapore Food Festival 2023,19 - 30 Jul 2023,"12A Bayfront Ave, Singapore 018970",ENDED,https://thesmartlocal.com/read/singapore-food-festival-2023/,08/04/2024 23:10:32
“Itsy Bitsy Teenie Weenie Super Mini Thingy Exhibition,21 Jul - 06 Aug 2023,"409 Race Course Road, #03-01A, Singapore 218657",ENDED,https://thesmartlocal.com/read/miniature-exhibition-farrer-park/,08/04/2024 23:10:32
Majulah Fiesta 2023,03 - 09 Aug 2023,"1 Stadium Drive, Kallang, Singapore 271003",ENDED,https://thesmartlocal.com/read/majulah-fiesta-2023/,08/04/2024 23:10:32
Films At The Fort 2023,03 - 20 Aug 2023,"Fort Canning Green, River Valley Road, Singapore 179037",ENDED,https://thesmartlocal.com/read/films-at-the-fort-2023/,08/04/2024 23:10:32
The Centrepoint’S Artsy National Day Event Has SG-Themed Tokidoki & Miniature Models Of Local Sights ,04 Aug - 03 Sep 2023,"176 Orchard Road, The Centrepoint, Level 1 Atrium, Singapore 238843",ENDED,https://thesmartlocal.com/read/the-centrepoint-national-day-2023/,08/04/2024 23:10:32
Singapore Night Festival 2023,18 - 26 Aug 2023,"93 Stamford Road, Singapore 178897",ENDED,https://thesmartlocal.com/read/singapore-night-festival-2023/,08/04/2024 23:10:32
Wan Qing Mid-Autumn Festival 2023,29 Aug - 01 Oct 2023,"12 Tai Gin Road, Singapore 327874",ENDED,https://thesmartlocal.com/read/wan-qing-mid-autumn-festival-2023/,08/04/2024 23:10:32
Garden Of Lights At VivoCity,31 Aug - 01 Oct 2023,"1 HarbourFront Walk, Singapore 098585",ENDED,https://thesmartlocal.com/read/vivocity-mid-autumn-festival-2023/,08/04/2024 23:10:32
PLQ Mid-Autumn Events,01 Sep - 01 Oct 2023,"10 Paya Lebar Road, Singapore 409057",ENDED,https://thesmartlocal.com/read/plq-mid-autumn-festival-2023/,08/04/2024 23:10:32
Bugis Town Events 2023,02 - 17 Sep 2023,Multiple locations,ENDED,https://thesmartlocal.com/read/bugis-town-september-2023/,08/04/2024 23:10:32
Garden Of Blooms,16 Sep - 01 Oct 2023,"18 Marina Gardens Drive, Gardens By The Bay, Singapore 018953",ENDED,https://thesmartlocal.com/read/gbtb-mid-autumn-festival-2023/,08/04/2024 23:10:32
Now Is Not The Time,19 - 24 Sep 2023,"27 Pasir Panjang Road, Singapore 117537",ENDED,https://thesmartlocal.com/read/now-is-not-the-time/,08/04/2024 23:10:32
Carnival By The Bay,22 - 23 Sep 2023,"8A Marina Boulevard, Singapore 018984",ENDED,https://thesmartlocal.com/read/carnival-by-the-bay/,08/04/2024 23:10:32
Halloween Horror Nights 2023,29 Sep - 04 Nov 2023,"8 Sentosa Gateway, Universal Studios Singapore, Singapore 098269",ENDED,https://thesmartlocal.com/read/halloween-horror-nights-2023/,08/04/2024 23:10:32
LKY: The Experience,06 Oct - 31 Dec 2023,11 Prinsep Link,ENDED,https://thesmartlocal.com/read/lky-the-experience/,08/04/2024 23:10:32
Rest.In.Peace Centre Horror Experience,13 - 29 Oct 2023,"1 Sophia Road, Peace Centre, Singapore 228161",ENDED,https://thesmartlocal.com/read/peace-centre-horror-house/,08/04/2024 23:10:32
Klook Travel Fest 2023,14 - 15 Oct 2023,Marina Bay Sands Convention Centre Hall D,ENDED,https://thesmartlocal.com/read/klook-travel-fest-2023/,08/04/2024 23:10:32
There’S A Huge Bazaar In Little India With Loads Of Traditional Snacks & Festive Outfits For Deepavali Hols,14 Oct - 11 Nov 2023,Little India,ENDED,https://thesmartlocal.com/read/deepavali-market-little-india/,08/04/2024 23:10:32
Brews & Beats 2023,19 - 24 Oct 2023,"311 New Upper Changi Road, Singapore 467360",ENDED,https://thesmartlocal.com/read/bedok-mall-brews-and-beats-2023/,08/04/2024 23:10:32
Haw-Ror Villa 2,27 - 29 Oct 2023,"Haw Par Villa, 262 Pasir Panjang Road, Singapore 118628",ENDED,https://thesmartlocal.com/read/haw-par-villa-halloween-2023/,08/04/2024 23:10:32
Korean Film Festival 2023,27 Oct - 05 Nov 2023,"3 Temasek Boulevard, #03-373, Singapore 038983",ENDED,https://thesmartlocal.com/read/korean-film-festival-2023/,08/04/2024 23:10:32
Nautical Paw-Ty @ Northshore Plaza,05 Nov 2023,"407 Northshore Drive, Singapore 820407",ENDED,https://thesmartlocal.com/read/northshore-plaza-pet-friendly-event/,08/04/2024 23:10:32
Warner Bros. 100 At Sentosa,10 - 26 Nov 2023,siloso beach,ENDED,https://thesmartlocal.com/read/warner-bros-sentosa/,08/04/2024 23:10:32
Suntec City’ Holiday Wonderland,16 Nov - 26 Dec 2023,Suntec City,ENDED,https://thesmartlocal.com/read/suntec-city-holiday-wonderland-2023/,08/04/2024 23:10:32
Nintendo Pop-Up Store,17 Nov 2023 - 01 Jan 2024,"Jewel Changi Airport, Level 04-220/221",ENDED,https://thesmartlocal.com/read/nintendo-pop-up-store-jewel-changi/,08/04/2024 23:10:32
Pipe Around The World At Jewel,17 Nov 2023 - 01 Jan 2024,"Jewel Changi, 78 Airport Boulevard, Singapore 819666",ENDED,https://thesmartlocal.com/read/super-mario-jewel-changi/,08/04/2024 23:10:32
RollerMania 3.0,17 Nov 2023 - 01 Jan 2024,"Level 7 Carpark, 68 Orchard Road, Singapore 238839",ENDED,https://thesmartlocal.com/read/rollermania-2023/,08/04/2024 23:10:32
Walt Disney Animation Studios,18 Nov - 31 Dec 2023,"4 Bayfront Avenue, Sands Theatre, Singapore 018973",ENDED,https://thesmartlocal.com/read/immersive-disney-animation/,08/04/2024 23:10:32
UNTAME: Future Of Food,24 Nov - 02 Dec 2023,Science Centre Singapore,ENDED,https://thesmartlocal.com/read/science-centre-untame-future-of-food/,08/04/2024 23:10:32
JB MaQan Food Fest 2023,24 - 26 Nov 2023,"Padang A, Angsana Johor Bahru Mall, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",ENDED,https://thesmartlocal.com/read/jb-maqan-food-fest-2023/,08/04/2024 23:10:32
Home Team Festival 2023,24 - 26 Nov 2023,"1 Expo Drive, Singapore 486150",ENDED,https://thesmartlocal.com/read/home-team-festival-2023/,08/04/2024 23:10:32
Nom Nom Cinema,24 Nov - 29 Dec 2023,"217 Lavender Street, Haus217, Singapore 338772",ENDED,https://thesmartlocal.com/read/nom-nom-cinema-2023/,08/04/2024 23:10:32
Smart Grandparent'S Day 2023,26 Nov 2023,National Museum of Singapore,ENDED,https://thesmartlocal.com/read/smart-nation-grandparents-day-2023/,08/04/2024 23:10:32
Christmas Wonderland 2023,01 Dec 2023 - 01 Jan 2024,"Gardens By The Bay, 18 Marina Gardens Drive, Singapore 018953",ENDED,https://thesmartlocal.com/read/christmas-wonderland-2023/,08/04/2024 23:10:32
Star On! 2023,03 Dec 2023,"1 Raffles Boulevard, Room 321-322, Summit 1, Suntec Singapore Convention & Exhibition Centre, Singapore 039593",ENDED,https://thesmartlocal.com/read/home-reno-questions/,08/04/2024 23:10:32
Ice Magic,09 Dec 2023 - 21 Jan 2024,"Bayfront Event Space,12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/ice-magic-2023/,08/04/2024 23:10:32
TurboCharged By KF1,14 - 31 Dec 2023,"Bayfront Event Space, 12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/turbocharged-go-karting-marina-bay/,08/04/2024 23:10:32
Bedok Mall Forest Frenzy Carnival 2024,22 Dec 2023 - 02 Jan 2024,"311 New Upper Changi Road, Singapore 467360",ENDED,https://thesmartlocal.com/read/bedok-mall-carnival-2024/,08/04/2024 23:10:32
HarbourFront Centre'S Chinese New Year Celebration,10 Jan - 13 Feb 2022,"1 Maritime Square, Singapore 099253",ENDED,https://thesmartlocal.com/read/harbourfront-centre-cny-2022/,08/04/2024 23:10:32
SIT Open House 2023,14 - 15 Jan 2022,"Suntec Convention and Exhibition Centre, Level 3",ENDED,https://thesmartlocal.com/read/sit-open-house-2023/,08/04/2024 23:10:32
