Event Title,Date,Location,URL,Date_of_check
Majulah Fiesta - Piloxing,31 JUL - 31 JUL,OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-piloxing-31-july,08/05/2024 14:33:47
Majulah Fiesta - KpopX® Fitness,31 JUL - 31 JUL,OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-kpop-fitness-31-july,08/05/2024 14:33:47
Majulah Fiesta - Les Mills BODYCOMBAT®,31 JUL - 31 JUL,OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-les-mills-bodycombat-31-july,08/05/2024 14:33:47
Majulah Fiesta - International Remix (Dance Storm),31 JUL - 31 JUL,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-international-remix-dance-storm,08/05/2024 14:33:47
Pesta Sukan 2023,15 Jul - 06 Aug,,https://www.activesgcircle.gov.sg/things-to-do/events/pesta-sukan-2023-15/07/2023,08/05/2024 14:33:47
ActiveGroove - Lion City Dance,29 Jul - 06 Aug,Sports Hub Black Box Auditorium / Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/active-groove-lion-city-dance,08/05/2024 14:33:47
Seniors' Sports Day 2023,03 AUG - 03 AUG,"Sports Hub, OCBC Arena",https://www.activesgcircle.gov.sg/things-to-do/events/seniors-sports-day-2023,08/05/2024 14:33:47
YouthCreates - Ramp it Up,04 Aug - 06 Aug,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/youthcreates-ramp-it-up,08/05/2024 14:33:47
GetActive! Singapore Heartland Festivals 2023 - Jurong,05 Aug - 06 Aug,Jurong West Sport Centre,https://www.activesgcircle.gov.sg/things-to-do/events/getactive-singapore-heartland-festival-2023-jurong,08/05/2024 14:33:47
GetActive! Singapore Heartland Festivals 2023 - Toa Payoh,05 Aug - 06 Aug,Toa Payoh Sport Centre,https://www.activesgcircle.gov.sg/things-to-do/events/getactive-singapore-heartland-festival-2023-toa-payoh,08/05/2024 14:33:47
GetActive! Singapore Heartland Festivals 2023 - Woodlands,05 Aug - 06 Aug,Woodlands Sport Centre,https://www.activesgcircle.gov.sg/things-to-do/events/getactive-singapore-heartland-festival-2023-woodlands,08/05/2024 14:33:47
GetActive! Singapore Heartland Festivals 2023 - Bedok,05 Aug - 06 Aug,Bedok Sport Centre,https://www.activesgcircle.gov.sg/things-to-do/events/getactive-singapore-heartland-festival-2023-bedok,08/05/2024 14:33:47
GetActive! Singapore Heartland Festivals 2023 - Tampines,06 AUG - 06 AUG,Our Tampines Hub,https://www.activesgcircle.gov.sg/things-to-do/events/getactive-singapore-heartland-festival-2023-tampines,08/05/2024 14:33:47
Majulah Fiesta - KpopX® Fitness,07 AUG - 07 AUG,Sports Hub OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-kpop-fitness-7-aug,08/05/2024 14:33:47
Majulah Fiesta - Zumba,07 AUG - 07 AUG,Sports Hub OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-zumba-1-aug,08/05/2024 14:33:47
Majulah Fiesta - Les Mills BODYCOMBAT®,07 AUG - 07 AUG,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-les-mills-bodycombat-7-aug,08/05/2024 14:33:47
YouthCreates - Shredder Series,07 Aug - 09 Aug,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/youthcreates-shredder-series,08/05/2024 14:33:47
Majulah Fiesta - Les Mills SH'BAM®,08 AUG - 08 AUG,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-les-mills-shbam-8-aug,08/05/2024 14:33:47
Majulah Fiesta - Zumba,08 AUG - 08 AUG,Sports Hub OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-zumba-8-aug,08/05/2024 14:33:47
Majulah Fiesta - K-Kardio,08 AUG - 08 AUG,Sports Hub OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-k-kardio-8-aug,08/05/2024 14:33:47
Majulah Fiesta - Piloxing,08 AUG - 08 AUG,Sports Hub OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-piloxing-7-aug,08/05/2024 14:33:47
Majulah Fiesta - MMA Workout with ONE Championship,08 AUG - 08 AUG,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-mma-workout-with-one-championship,08/05/2024 14:33:47
Majulah Fiesta - Great Singapore Workout (90s) & Dance,09 AUG - 09 AUG,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-great-singapore-workout-90s-dance,08/05/2024 14:33:47
Majulah Fiesta - Cardio (with Singapore Twist),09 AUG - 09 AUG,Sports Hub OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/majulah-fiesta-cardio-with-singapore-twist,08/05/2024 14:33:47
PTO Asian Open,19 Aug - 20 Aug,Marina Bay,https://www.activesgcircle.gov.sg/things-to-do/events/pto-asian-open-19/08/2023,08/05/2024 14:33:47
PTO Asian Open - Duathlon,20 AUG - 20 AUG,Marina Bay,https://www.activesgcircle.gov.sg/things-to-do/events/pto-asian-open---duathlon--20/08/2023,08/05/2024 14:33:47
Run for Inclusion 2023,02 SEP - 02 SEP,Singapore Turf Club,https://www.activesgcircle.gov.sg/things-to-do/events/run-for-inclusion-2023,08/05/2024 14:33:47
NUS Giving Run BIG 2023,02 Sep - 11 Sep,,https://www.activesgcircle.gov.sg/things-to-do/events/nus-giving-run-big-2023-02/09/2023,08/05/2024 14:33:47
FIBA ICC Singapore 2023,21 Sep - 24 Sep,Singapore Indoor Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/fiba-icc-singapore-2023-21/09/2023,08/05/2024 14:33:47
Mandai Wildlife Run,23 Sep - 24 Sep,"80, Mandai Lake Road - Singapore Zoo, River Wonders, Night Safari",https://www.activesgcircle.gov.sg/things-to-do/events/mandai-wildlife-run-23/09/2023,08/05/2024 14:33:47
Great Green Run,24 SEP - 24 SEP,Marina Barrage,https://www.activesgcircle.gov.sg/things-to-do/events/great-green-run-24/09/2023,08/05/2024 14:33:47
Walk into Life,30 SEP - 30 SEP,Bedok Reservoir,https://www.activesgcircle.gov.sg/things-to-do/events/walk-into-life-30/09/2023,08/05/2024 14:33:47
HYROX Singapore,07 OCT - 07 OCT,Singapore National Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/hyrox-singapore-07/10/2023,08/05/2024 14:33:47
Ride and Ralk for Rainbows 2023,08 OCT - 08 OCT,"8 Marina Gardens Dr, Singapore 018951",https://www.activesgcircle.gov.sg/things-to-do/events/ride-and-ralk-for-rainbows-2023-08/10/2023,08/05/2024 14:33:47
FIFA World Cup Qualifiers: Singapore vs Guam,12 OCT - 12 OCT,National Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/fifa-world-cup-qualifiers:-singapore-vs-guam-1697068800000,08/05/2024 14:33:47
Mirxes Nations Cup 2023,22 Oct - 28 Oct,Sports Hub OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/mirxes-nations-cup-2023-22102023,08/05/2024 14:33:47
A Sporting Journey,28 OCT - 28 OCT,"100 Guillemard Rd, Singapore Badminton Hall, Singapore 399718",https://www.activesgcircle.gov.sg/things-to-do/events/a-sporting-journey-28102023,08/05/2024 14:33:47
Great Eastern Women's Run 2023,29 OCT - 29 OCT,1 Stadium Drive (S)397629,https://www.activesgcircle.gov.sg/things-to-do/events/great-eastern-women's-run-2023-29/10/2023,08/05/2024 14:33:47
74th Singapore Cricket Club International Rugby 7s,04 Nov - 05 Nov,SCC Padang,https://www.activesgcircle.gov.sg/things-to-do/events/74th-singapore-cricket-club-international-rugby-7s-545831,08/05/2024 14:33:47
Asian Canoe Polo Championships 2023,09 Nov - 12 Nov,"12A Bayfront Ave, Singapore 018970",https://www.activesgcircle.gov.sg/things-to-do/events/asian-canoe-polo-championships-2023-233314,08/05/2024 14:33:47
CELEBRATE DEEPAVALI WITH RANGOLI & RHYTHM,10 Nov - 11 Nov,OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/celebrate-deepavali-with-rangoli-&-rhythm-303664,08/05/2024 14:33:47
