Date,Location
2022-11-29,East
2022-11-30,East
2022-12-01,East
2022-12-02,East
2022-12-03,East
2022-12-04,East
2022-12-05,East
2022-12-06,East
2022-12-07,East
2022-12-08,East
2022-12-09,East
2022-12-10,East
2022-12-11,East
2022-12-12,East
2022-12-13,East
2022-12-14,East
2022-12-15,East
2022-12-16,East
2022-12-17,East
2022-12-18,East
2022-12-19,East
2022-12-20,East
2022-12-21,East
2022-12-22,East
2022-12-23,East
2022-12-24,East
2022-12-25,East
2022-12-26,East
2022-12-27,East
2022-12-28,East
2022-12-29,East
2022-12-30,East
2022-12-31,East
2023-01-01,East
2023-01-02,East
2023-01-03,East
2023-01-04,East
2023-01-05,East
2023-01-06,East
2023-01-07,East
2023-01-08,East
2023-01-09,East
2023-01-10,East
2023-01-11,East
2023-01-12,East
2023-01-13,East
2023-01-14,East
2023-01-15,East
2023-01-16,East
2023-01-17,East
2023-01-18,East
2023-01-19,East
2023-01-20,East
2023-01-21,East
2023-01-22,East
2023-01-23,East
2023-01-24,East
2023-01-25,East
2023-01-26,East
2023-01-27,East
2023-01-28,East
2023-01-29,East
2023-01-30,East
2023-01-31,East
2023-02-01,East
2023-02-02,East
2023-02-03,East
2023-02-04,East
2023-02-05,East
2022-11-19,East
2022-11-20,East
2022-11-21,East
2022-11-22,East
2022-11-23,East
2022-11-24,East
2022-11-25,East
2022-11-26,East
2022-11-27,East
2022-11-28,East
2022-11-29,East
2022-11-30,East
2022-12-01,East
2022-12-02,East
2022-12-03,East
2022-12-04,East
2022-11-25,East
2022-11-26,East
2022-11-27,East
2022-12-03,East
2022-12-04,East
2022-12-05,East
2022-12-06,East
2022-12-07,East
2022-12-08,East
2022-12-09,East
2022-12-10,East
2022-12-11,East
2022-12-12,East
2022-12-13,East
2022-12-14,East
2022-12-15,East
2022-12-16,East
2022-12-17,East
2022-12-18,East
2022-12-19,East
2022-12-20,East
2022-12-21,East
2022-12-22,East
2022-12-23,East
2022-12-24,East
2022-12-25,East
2022-12-26,East
2022-12-27,East
2022-12-28,East
2022-12-29,East
2022-12-30,East
2022-12-14,East
2022-12-15,East
2022-12-16,East
2022-12-17,East
2022-12-18,East
2022-12-19,East
2022-12-20,East
2022-12-21,East
2022-12-22,East
2022-12-23,East
2022-12-24,East
2022-12-25,East
2021-11-26,East
2021-11-27,East
2021-11-28,East
2021-11-29,East
2021-11-30,East
2021-12-01,East
2021-12-02,East
2021-12-03,East
2021-12-04,East
2021-12-05,East
2021-12-06,East
2021-12-07,East
2021-12-08,East
2021-12-09,East
2021-12-10,East
2021-12-11,East
2021-12-12,East
2021-12-13,East
2021-12-14,East
2021-12-15,East
2021-12-16,East
2021-12-17,East
2021-12-18,East
2021-12-19,East
2021-12-20,East
2021-12-21,East
2021-12-22,East
2021-12-23,East
2021-12-24,East
2021-12-25,East
2021-12-26,East
2021-12-27,East
2021-12-28,East
2021-12-29,East
2021-12-30,East
2021-12-31,East
2022-01-01,East
2022-01-02,East
2020-01-06,East
2020-01-07,East
2020-01-08,East
2020-01-09,East
2020-01-10,East
2020-01-11,East
2020-01-12,East
2020-01-13,East
2020-01-14,East
2020-01-15,East
2020-01-16,East
2020-01-17,East
2020-01-18,East
2020-01-19,East
2020-01-20,East
2020-01-21,East
2020-01-22,East
2020-01-23,East
2019-06-13,East
2019-07-01,East
2019-07-02,East
2019-07-03,East
2019-07-04,East
2019-07-05,East
2019-07-06,East
2019-07-07,East
2019-07-08,East
2019-07-09,East
2019-07-10,East
2019-07-11,East
2019-07-12,East
2019-07-13,East
2019-07-14,East
2019-07-15,East
2019-07-16,East
2019-07-17,East
2019-07-18,East
2019-07-19,East
2019-07-20,East
2019-07-21,East
2019-07-22,East
2019-07-23,East
2019-07-24,East
2019-07-25,East
2019-07-26,East
2019-07-27,East
2019-07-28,East
2019-07-29,East
2019-07-30,East
2019-07-31,East
2019-08-01,East
2019-08-02,East
2019-08-03,East
2019-08-04,East
2019-08-02,East
2019-08-03,East
2019-08-04,East
2019-08-05,East
2019-08-06,East
2019-08-07,East
2019-08-08,East
2019-08-09,East
2019-08-10,East
2019-08-11,East
2019-08-12,East
2019-08-13,East
2019-08-14,East
2019-08-17,East
2019-08-18,East
2019-09-07,East
2019-10-23,East
2019-10-24,East
2019-10-25,East
2019-10-26,East
2019-10-27,East
2019-10-28,East
2019-10-29,East
2019-10-30,East
2019-10-31,East
2019-11-01,East
2019-11-02,East
2019-11-03,East
2019-10-04,East
2019-10-05,East
2019-10-06,East
2019-10-07,East
2019-10-08,East
2019-10-09,East
2019-10-10,East
2019-10-11,East
2019-10-12,East
2019-10-13,East
2019-10-13,East
2019-11-15,East
2019-11-16,East
2019-11-17,East
2019-11-18,East
2019-11-19,East
2019-11-20,East
2019-11-21,East
2019-11-22,East
2019-11-23,East
2019-11-24,East
2019-11-28,East
2019-11-29,East
2019-11-30,East
2019-12-01,East
2019-12-04,East
2019-12-05,East
2019-12-06,East
2019-12-07,East
2019-12-08,East
2019-12-09,East
2019-12-10,East
2019-12-11,East
2019-12-12,East
2019-12-13,East
2019-12-14,East
2019-12-15,East
2019-12-12,East
2019-12-13,East
2019-12-14,East
